data
"{""respondent_id"":7687964446014407000,""Gender"":""Female"",""DateOfBirth"":""1998-08-26"",""Income"":""Medium"",""Education"":""PhD"",""City"":""Los Angeles"",""State"":""CA"",""Country"":""USA""}"
"{""respondent_id"":2516989394307946000,""Gender"":""Male"",""DateOfBirth"":""1977-08-26"",""Income"":""High"",""Education"":""Bachelor's Degree"",""City"":""San Jose"",""State"":""CA"",""Country"":""USA""}"
"{""respondent_id"":2755269320091863600,""Gender"":""Other"",""DateOfBirth"":""1974-08-26"",""Income"":""Low"",""Education"":""High School"",""City"":""San Diego"",""State"":""CA"",""Country"":""USA""}"
"{""respondent_id"":4581235913619857400,""Gender"":""Female"",""DateOfBirth"":""1989-08-26"",""Income"":""Low"",""Education"":""High School"",""City"":""Phoenix"",""State"":""AZ"",""Country"":""USA""}"
"{""respondent_id"":8742950777642267000,""Gender"":""Female"",""DateOfBirth"":""1956-08-26"",""Income"":""Medium"",""Education"":""Master's Degree"",""City"":""San Diego"",""State"":""CA"",""Country"":""USA""}"
"{""respondent_id"":8926440311537661000,""Gender"":""Male"",""DateOfBirth"":""2001-08-26"",""Income"":""High"",""Education"":""Bachelor's Degree"",""City"":""Los Angeles"",""State"":""CA"",""Country"":""USA""}"
"{""respondent_id"":5788725707827717000,""Gender"":""Other"",""DateOfBirth"":""1997-08-26"",""Income"":""High"",""Education"":""Bachelor's Degree"",""City"":""San Diego"",""State"":""CA"",""Country"":""USA""}"
"{""respondent_id"":2546656751225757700,""Gender"":""Female"",""DateOfBirth"":""1986-08-26"",""Income"":""Low"",""Education"":""High School"",""City"":""New York"",""State"":""NY"",""Country"":""USA""}"
"{""respondent_id"":2852523558838780000,""Gender"":""Male"",""DateOfBirth"":""2002-08-26"",""Income"":""High"",""Education"":""High School"",""City"":""San Antonio"",""State"":""TX"",""Country"":""USA""}"
"{""respondent_id"":2989084092205263400,""Gender"":""Male"",""DateOfBirth"":""1988-08-26"",""Income"":""High"",""Education"":""Bachelor's Degree"",""City"":""New York"",""State"":""NY"",""Country"":""USA""}"
"{""respondent_id"":2823805235214918000,""Gender"":""Other"",""DateOfBirth"":""2005-08-26"",""Income"":""Low"",""Education"":""Bachelor's Degree"",""City"":""Dallas"",""State"":""TX"",""Country"":""USA""}"
"{""respondent_id"":6866218488230521000,""Gender"":""Other"",""DateOfBirth"":""2003-08-27"",""Income"":""Low"",""Education"":""Bachelor's Degree"",""City"":""Houston"",""State"":""TX"",""Country"":""USA""}"
"{""respondent_id"":2730635658782936000,""Gender"":""Other"",""DateOfBirth"":""2004-08-26"",""Income"":""Medium"",""Education"":""Bachelor's Degree"",""City"":""Dallas"",""State"":""TX"",""Country"":""USA""}"
